Title_of_the_Review,Review_of_the_movie
Omg! Wasn't expecting it to be so stunning,"The music, the screenplay, the writing, the direction everything was on point. I went to a theatre to watch it and was literally stunned. I crave that background music. It's simply too good. Ultimately. Go for it. Best 2 hours you'll have. Wont regret it."
Ten Years too Late,
It's a Visual treat,Perfect Fantasy film to watch with full family.. you can't miss this on big screen.
"Just, wow.","You could be mistaken for reading the title and thinking I was being sarcastic.

Thankfully,I'm not. Just wow. I've been longing for that wow factor from the cinema since cinemas have reopened and this film gave me everything I wanted.

Take away the fact that I am biased towards Marvel movies (guilty) this however is just a fanboy loving that Marvel have delivered once again, by that I mean top tier movies in the realms of Black Panther, Thor 3, GOTG, Infinity wars, Spider-Man just to name a few.

From not having any major comic runs, to coming to our screens with this is jaw dropping movie, I can only show nothing but pure joy. From the culture, the mythical folklore, the mix of past/present and let's not forget the secret garden this film expands on the Marvel universe once again with an even deeper history.

This film gave me real belly laughs, real emotional moment, a fantastic soundtrack to match this is a genuine winner for this year and Spider-Man may have his hands full beating what I can only describe as the best introduction to a unknown character since BP/GOTG. Shang-Chi needs to be a new staple in the Marvel franchise with new stories moving forward. Not to mention that fantastic performance from Simu Liu which has genuinely made me yearn for more of his portrayal!

What an absolute treat and I've only watched it twice with a third viewing feeing more needed as the days go on.

5 star all day, every day. Bravo!"
Amazing.,"An iconic film with excellent combat.

Perfect new start."
Glad to know about our new lad.. BTW welcome to MCU!,MCU new characters are always astonishing. Looking ahead for timely updates.
Best action movie of 2021,Superb superb superb very very good movie must watch in theatre....
Beautifully created,
Shang - Chi Movie Review,"Marvel Studios has gained a glamorous reputation throughout the last decade, and this film was a huge milestone for superhero cinema, Asian representation, and the studio as a whole. Like Black Panther was to a lot of African-American audiences, Shang-Chi will ignite a spark in the hearts of Asians. This film opens the door to a relatable character and I love Simu-Liu's portrayal of Shang-Chi. I have watched Simu previously in the show Kim's Convenience as a comedic character and there couldn't have been better casting for Shang-Chi. Simu reflects the combination of an Asian-American character superbly and has an amazing screen presence. His character reminded me of Captain America because of his leadership role in the film, standing up against all odds, and overall amazing chemistry with the rest of the cast. Awkwafina's character, Katie, was an amazing character, filled with comedic relief that gave a lighter tone, to a film that was a little bit too dark for a Marvel film. Tony Leung's character, The Mandarin stole the show with a vengeance. Tony Leung is absolutely ground-breaking in every role he plays and The Mandarin was a unique role he took on. Leung had an amazing screen presence and was my character in the film. The visual effects in the film were unique and I could see that the animators had taken inspiration from traditional Chinese films regarding Martial Arts, also having similarities in design to Doctor Strange. The action in this film was mind-blowing like I was expecting, and I loved the fight on the bus. The soundtrack was average, with the usage of traditional Chinese instruments. The songs used in the film were composed by primarily Chinese Hip-Hop artists and I enjoyed them. The writing in this film was good, but not great. One of the criticisms I have about the film is that the plot did not feel original and could've been executed far better. There were a lot of parts in the middle of the film that stole away from the central plot of the film. This film had a more emphasis on magic and fantasy as suppose Kung Fu. Overall, this film is hands down one of the best gems Marvel has produced, and I cannot wait for Shang-Chi to integrate with the Marvel Cinematic Universe further."
"Boring, predictable, Dumb characters","Well in short This comes under my top 5 worst marvel movie My god.. Nothing interesting in this movie, not even the final battle😑 There's like no suspense at all And the main characters going to learn everything in like minutes, no need Of training, just be main character😑"
Great action movie,"I have to that this movie was great. It has a lot of action in this movie and the choreography in every fight scenes was amazing. Also, the story was interesting and it has a lot of jokes that makes me laugh every time and the CGI and the visual of this movie was great. This movie was very entertaining. This is probably the best MCU solo movie after captain america the winter soldier.

Overall, I gave it 8/10 because it was a great action movie. I like it😁👍"
One of the Best Solo Movie of Marvel,"Shang chi is One of the Best Solo movie till now in Marvel. If you are waiting to come it on OTT platform , you are gonna regret for not watching it in Theaters,(unless due to Covid-19) .

Visuals are so much OP in this movie. BGM of this movie will give you the vibes of Kung fu panda(Chinese Instruments), with some Dj snake Officials.

Martial Arts And Other Fighting Sequences are also Very Amazing in this movie.

For those who are Searching a good movie after 2 years of covid, this movie is that you should watch i.t Beware of Spoilers and you will Enjoy the movie."
Funny action movie,"This was a lot of fun to watch. The cast was great. They made their characters believable, funny, and told a great story. It held its own very well. The action scenes blend with everything they did. It's nice to watch something that takes you away, and you get lost in it. Great movie can't wait to watch it again."
"Crouching Tiger, Hidden MARVEL . . . And So MUCH , MUCH , MUCH , MORE 💎","A -BIG- Screen Mini Review. Viewed Sept. 05, 2021.

______________________________________________________

Katy : ""That's fine...... you can just explain on the plane"". { This is said by her to Shaun a.k.a Shang-Chi, marking a ""sudden and unexpected"" twist of events }.

______________________________________________________

1. "" So -{ MANY }- Upsides : ""Crouching Tiger, Hidden MARVEL"" { Gosh . . . . where do I even start❓} "" : Ang Lee's circa 2000 quasi-mystical Martial arts spectacular is the -Very- first film that came to my mind whilst watching a certain beautifully -{ ' Atmospheric ' }- segment of the opening-act of 'Shang-Chi And The Legend Of The Ten Rings' ( ""Shang Chi"" for short ) . . . . you'll know it -Immediately- upon seeing it . . . . featuring the ""ever-amazing"" Malaysian Mega Star Michelle Yeoh ; who of course was one of the -Principal- characters in 'Crouching Tiger, Hidden Dragon', -As well- . { FYI : this is by no means intended to be a spoiler ; -several- of the movie's -official- teasers & trailers 'gallantly' feature the said scene, albeit briefly }. And what's more ...( trailers also )... if you're someone with 'even the slightest bit' of true passion for all things within the realm of sheer cinematic -{ FANTASY 🌠 }- , then you'll be absolutely -delighted- to know that Shang Chi -Also- has a distinct 'Harry Potter' aspect to it . . . & if even -that's- not enough for you . . . Then, get this, its got a 'full-blown dollop of Narnia' thrown in there for good measure, at that. To be -Really- honest, it felt a bit disorienting , -At First- , seeing all ""those types of elements"" in an 'MCU' ( 'Marvel Cinematic Universe' ) picture, but then I suddenly realized that 'Infinity War' -And- 'Endgame' both -Very- prominently feature, well ...{ a walking, -""Talking""- demolition derby of a, err, -""Raccoon""- }... in them, & I began to feel at home again, pretty darn quick.

2. "" There -Is- One 'Stark' Downside, Alas . . . . The MCU has had -{ WAY }- Too Much ""Muddled & Obfuscatory"" Messaging Vis-a-vis 'The Ten Rings', Over The Years "" : In 2008's -superbly- received { and completely -iconic- } 'Ironman', which is where we were all introduced to the bespoke militant organization, ( 'TTR' for short ), for the -Very- first time . . . . there is an ""Explicit And Unequivocal"" reference to the film's ( initial ) setting as being sometime within the USA's long 'War In Afghanistan', ( where the -Official- state religion is Islam ). Hence, by -{ EXTENSION 💡 }- , there is the correspondingly ""Glaring"", ( although tad more ""Implicit"" ), suggestion that TTR is . . . . . { from the immediately apparent ethnic backgrounds of the mostly Urdu & Arabic speaking members portrayed, to the group's visually -Distinctive- flag, right down to the undeniably frightening 'Imminent-Beheading' type video featuring a thoroughly bruised & bloodied Tony Stark as its centerpiece ( all too reminiscent of the -Horribly- tragic & bloodcurdling news stories that we've been, sadly, accustomed to reading about, hearing about and watching over the years ) } . . . . . 'yet another' archetypal, classic ""Islamist-fundamentalist"" type group. When in fact, as is -Strongly- conveyed to us in -This- particular picture, ( beginning all the way with the trailers itself ), that this is simply -{ Not }- the case. The said militant group does, of course, turn out to be, ( at its very 'Core' ), & by way of, this, its Origins-Story ; ""Not Arab Or Middle Eastern -At All-"" , but in fact . . . . -{ "" 100% CHINESE "" }- . Certainly very confusing, -especially- for the majority of us, who -haven't- read any 'Mandarin vs. Shang-Chi' comics . . . . Go Figure 🤷‍♂️ 🤔 .

"" Final Analysis "" : -{ If }- you can get yourself to basically -Overlook- the aforementioned, & ""Legitimate Inconsistencies"" pertaining to Marvel's cinematic representation of its Ten Rings Organization, then . . . . -Yes- , for the most part at least, you -{ Should }- believe all the ""Rave Reviews"" that this 'Utter Delight Of A Movie' has -already- garnered, 'Globally'. A -Huge- Shoutout to its 'rookie' ( -relatively speaking- ) Director 'Destin Daniel Cretton', who""s been able to achieve this feat with, get this, just his -""5th""- Directorial-venture . . . Ever 👏 . What started as a humble yet impassioned little comic book effort about 10 very magical, & { Phenomenally Empowered Alien ""MAKLUAN"" Rings } . . . By the ""Truly-Legendary"" Stan Lee & Don Heck in Feb. 1964 ( ""Tales Of Suspense, No.50"" ) . . . Has now become the supremely enthralling ""Fresh New Face"" of Marvel's 'BOLD NEW ERA' { that started with 'Phase Four' }. The film's 'Star' is newcomer Simu Liu, whose portrayal of the outwardly nerdy-seeming yet immensely likeable 'Shaun' works wonderfully { not to mention all his ( "" Super 😉 "" )-impressive Kung Fu skills, of course }, with his ever-jocular best companion 'Katy', ( Awkwafina ), showing an absolute -ton- of heart, courage, & most of all, -{ "" Fierce "" }- Loyalty, throughout. Tony Leung, Meng'er Zhang, Fala Chen, Michelle Yeoh, & of course Shang-Chi's Big, Fun, ""Open-Surprise"" .....the 'one & only' Ben Kingsley.... perform their respective roles with -{ "" Panache "" }- . So, all told, it's going to be "" A Completely Charmed, Fiery 9.50 Marks Out 10 From Me . . . . ROCK ON, MARVEL 👊 🔥❗"" ."
Next Phase,
Fun Film That Does What It Is Supposed To,"Brought to you by the Truth Tellers.

Film is great overall and in this genre at least, is one of the best all year round that has been generally lacklustre. Definitely a good movie to watch as it does what it is supposed to in that it is generally a setup film for something bigger in the MCU.

Like many of the other Marvel Films in the MCU, they have to start somewhere. As an origin film it does it very well and perhaps the best origin / starting film for superhero movies that is full of action, decent story that is somewhat predictable (as it is for most origin stories) though generally fresh, fun and great characters. Definitely one to watch.

Final Verdict - Does what it is meant to do and provides the entertainment while doing it."
Best non-avengers MCU movie,"Keeping it short. This movie had it all. Great story, writing, direction, acting, villain, comedy and fight direction.

I'm a huge old school kung-fu movie fan and I was a bit sceptical about how they will show the fight scenes. Glad they kept it authentic with the fight director (who worked with Jackie Chan a lot). It was insane.

The story itself was superb. The villain's character development was amazing. The direction was not rushed and at the same time it didn't bore me for a single second.

Best non-avengers MCU movie for me. I can watch this again today after watching it last night."
Highly Overrated and Forgettable MCU Film,
Crappy story line with a big budget,The story is scripted by some white dude that eats avocado toast on a daily basis and it doesn't add value to the MCU at all. Whats the point? Better watch suicide squad instead.
Dumbing Down Cheap,"Lots of copied ideas from other films, and poorly executed. Very tossed together & cheaply not realistic.

The usual opening scene of vast armies on plains with the usual barrage of arrows. The Army of the Ten Rings is led by the usual immortal who, as usual, steals ten arm bracelets which as usual are suppose to be hidden because of their power to, as usual bring immortality & create immense destructive force. The seen before Disney style fantasy creatures (same old lion, horse, dragons, odd little creatures). The usual electrical, laser, and pressure force as our weapons. Redundant, boring, cheap to digitally reproduce. Possessor supposedly over a thousand + years develops an army that for centuries (up until now) has spread to every corner of the world (odd, I never heard of them)."
No idea what anyone else is watching.,"It's the same old at this point with these movies. Unoriginal plot. Story is bland. Predictable and the jokes are just recycled now. No idea how you could give this more than a 6 out of 10.

Really wasn't impressed at all."
The Best MCU film to date!,"Shang-Chi is full of amazing action (like awesome choreographed fights), funny actors, and a creative plot to achieve spectacular results. A surprising hit I did not expect to be this amazing."
Best Non-Avengers movie,"Just the poster alone says it all, the movie was great. Great writing, great character development, story, acting, villain, comedy and the best fights.

Like I just wrote the story was great, maybe you can say AMAZING. All of the character development was awesome to see and really entertaining. It was not at all rushed in the direction and at the same time didn't it bore me.

So save to say, it was one of the best non-avengers MCU movie for me. I would watch it again and maybe even three times after that."
Jaw dropping movie,Just watched the movie and i am speechless. The fight scenes were absolutely perfect and made my jaw drop. The character's were perfect and the little bit of comedy that was added made the movie even more amazing. If i could watch this movie again for the first time i would because the experience was out of this world.
Shang Cheese,"Totally unpopular opinion here and I might be the only one, but I really didn't like it; even going into it with no expectations. I wasn't too keen on the movie in the first place, but I was swayed by everybody who watched it and said it was brilliant. What a mistake. I felt the movie was incredibly dull, generic, utterly cliched and stereotyped. Crap characters, formulaic plot, and not even all that funny. As soon as the movie opened with a Chinese battle banner and the twang of guzheng notes, I knew it would be bad. The action and fight scenes aren't even all that great: they relied way too much on CG. I feel like the action was nothing special: Jackie Chan (and Yuen Wah whom you'll see in Shang Chi) in his hey-day produced way better action and fights without CG. Back when The Matrix first came out, that was mind-blowing action that Western audiences haven't seen before. If you've seen any number of Hong Kong martial arts movies you'll know what I mean. The third act of the movie was a total rip-off of the last battle in How to Train Your Dragon. Also an absolute waste of great actors like Michelle Yeoh who was given nothing to do, she practically dialled in her part. Positives though: Tony Leung. He's the one redeeming grace of this terrible and lazy movie."
Awful just awful,"It is not many times that you come out of the cinema with your friends and laugh about how bad a movie is but here we are. This is the Lowest of the low and this franchise has become nothing but a joke. Katy is the worst character in cinema history just shut up please jar jar 2.0, this is a disgrace to my eyes and dc is clear I see that now. If you like this movie you have problems."
Honest: A decent movie but don't expect anything you haven't already seen from Marvel.,"It's a decent movie. Happy that the comedic timing in certain scenes isn't overdone and it plays out to be a little more serious. The Mandarin in the movie by far the best acted out character and the choreography of the martial arts is on point. The movie is probably about 15 mins too long just when you think ""oh it's finishing up"" there's more. There is a notable difference in the second act with the story going more rapid and pacing is definitely the movies biggest flaw. Acting wise it's cool, nothing amazing or something you haven't seen before.

If you're familiar with marvel it's the exact same model as some of the other movies with it being about family (Thor, Black Widow).

Wanna have a good time with the family or just a decent watchable movie? This is one that you'll like."
Decent film but nothing special,"Incredibly cheesy and stereotypical superhero film. The acting was very 'meh'.

Very weak written villain.

Only redeeming parts were the cool weaponized rings and martial arts fight scenes. CGI was cool and sexy but in terms of narrative the movie was just.... soul less. Nothing new about it.

6/10 because it isn't bad per se. Decent action movie that looks good. That's about it."
Fantastic Beasts and Where to Find Them,
MMA: Magical Martial Arts,"This story is more magical than most of the other Marvel hero adventures, so it's more like Doctor Strange than Iron Man. The magical elements in the movie were a refreshing change from all the aliens we've been seeing in Marvel movies lately. However, you can watch this movie without having seen any other Marvel movies before.

The fight scenes were well choreographed, maybe almost too slick looking? They reminded me of Jackie Chan fights with how precise they were. Despite beating each other severely, no one seems to bleed in any of these fights, so it might have been better if it took the leap into R rating territory like Deadpool.

Although some scenes had slightly janky looking CGI - it was only a little sub-par in places. The final action set-piece is epic though, proving Shiang Chi is a force to be reckoned with in the MCU.

As with all the MCU movies, it doesn't take itself too seriously, with moments of humour. Although sometimes you'd wish they would be a bit more serious, I guess it's the MCU formula to add humour. It's reasonably well paced, although these movies are always longer than they need to be. Then you have to sit through end-credit scenes that hint at the mysterious origins of the 10 rings, and a potential sequel or tie in with another MCU movie.

Overall, it's not bad, a good adventure, some good fights, and a BIG finish."
Awesome.,"Best fight scenes since the civil war airport scene. They mess up simply by trying to make the character 10 years younger then the actor is. But aside from that I thought it was awesome. Plenty of cool action fight scenes, goes a little off the rails at the end with way too much cgi for what was a relatively grounded movie to start. Great addition to MCU , especially after the quality level the shows have been."
MCU G.O.A.T. (outside of avengers),"This movie had everything from a great story to some of the best visuals I've ever seen.

Shang-Chi has elevated the already high expectations from the MCU moving forward."
Beginning of Phase 4,"Shang-Chi and the Legend of the Ten Rings takes place some time after Avengers Endgame is the beginning of phase four of the marvel cinematic universe.

Shang-Chi is an alright movie. It has some great fight scenes with some incredible fight choreography and epic large-scale battles. It is also has some good comedic scenes that made me laugh a couple of times. Where Shang-Chi suffers is when it comes to the plot. I didn't find the story very compelling and I didn't get that attached to the characters. It's a story that I feel has been done many times before.

Shang-Chi wasn't for me but it's comedy and fight scenes make up for some of it's flaws. If you are familiar with the Marvel franchise I assume you somewhat know what to expect and for you I can recommend it. Although the movie isn't that great, I still think it's good enough to the point of where it's worth watching just to keep up with the larger plot of the MCU. For those not invested in the MCU, I don't believe that this movie is the one you should start with."
DON'T TAKE AY NOTICE OF THE HIGH REVIEWS,"Clearly only people working for the film have rated it high.. Trust me don't wast your time or money, its 2hrs ill never get back.. Acting was terrible, only decent thing about the film was the special effects...."
A beautifully unique marvel movie,
"Mediocre, shallow, flat - one of the worst MCU movies",
Waste of time..,"This movie is centred around cheap laughs and gags. It takes all the bad parts of the old MCU movies and puts it into this film. A fart joke was the only thing left on the table.

I literally feel asleep in the final act since it was so bizarre. This film drags on and on and on. In 2008 this would have been amazing. I'm shocked this carry's the marvel tittle. After end game Marvel had some excellent releases that continued to work on a wonderful story such as Wanda and Falcon but this was utter trash.

If you wana watch an old school Kung fu movie then this is ok. I hope they don't drop the ball with externals tbh.

I seen a few people leave the theatre. And what's up with these over the top good reviews seems sketchy."
Kinejin,
"It's not as bad as people are saying, it's also not quite as good.",
It is fine,"The movie is fine and thats about it. It is way overhyped and marvel fans just spam review 10 stars on anything marvel related for some weird reason.

I dont know what else to say other than the story was predictable and the only good part was the visuals, the fighting and some of the actors."
Out of the Marvel patterns,"I had very few expectations from this one, given the fact that it was an origin story with a character I know zero facts about. But let me say this, it competes with the Avengers movies when comes to cinematography, visuals and action sequences.

By far the best Marvel movie in the recent years, that puts many titles from its portfolio to shame.

The visuals are a blast, a true eye candy experience. There are a lot of new elements that Marvel seemed to experience with and it worked out perfectly. The choreography is spot on, as the fighting sequences are among the best I've seen, and combined with a good score, it turns out to be a very enjoyable seeing on the big screen. I think it's mandatory to watch Shang-Chi on the biggest screen you can get to."
An amazing movie.,"I love how this movie is just realistic and unrealistic at the same time. The graphics are visually appealing, and look insane. This movie was also kind of funny as well, and I would definitely rewatch this movie as much as I can. Definitely worth watching."
Average Marvel Flick!,"Great start, especially the fight choreography between Shang Chi's parents. That was sheer awesome and so was the fight in bus where we got good humour as a bonus.

But then story gets dragged out and turns weird.

Instead of taking us to Shang Chi's universe which is about martial arts... we are to Dr. Strange's.

Dark Door, a soul-consuming monster from another realm... It was like they borrowed elements just for the hell of it.

Expected so much..."
"Honestly it's great, beautiful martial arts galore","Haven't been much of a Marvel guy even with their biggest event films, but Shang Chi is solid. Story moves quick, lots of great characters, almost nonstop action scenes, and a finale that they hid from the trailers. I was definitely way more into it than I thought I'd be. Props to the team on this one!"
One of the best marvel movies ever with the best special effects!,"Marvel keeps making better movies! This marvel era is marvelous,(pun intended) first the series, then the black widow movie and now this! This movie has such lovable characters, the hero shaun doesn't have a hero complex like iron man. And the women who play in the movies are all different. In the beginning of marvel women (in my opinion) were displayed as either a strong power woman or a sex object. Here the women are just themselfs. The storyline is something new for me, I never heard about these stories and legends before. But now I plan to do that way more often. It was a little disappointing that all the 'good' main characters survived without a scratch. Of course I am happy that they will return in these movies in the future, but it makes it less dramatic and realistic. Still it is a funny movie with a great storyline and i cant even begin to mention how great the visuals were and the special effects. One of the best marvel movies for sure!"
"Solid first half, messy second half",
A mish-mash of genres that don't work on the whole.,"The very first question to be asked would be, ""Why was this movie even made in the first place?"" It's one of those ones that tries to be too much and ultimately fails at everything. It starts off as a love story, then turns into ""Filthy Rich Asians,"" and then ends as a conventional action pic. A romantic feminist vibe is terribly present throughout the entire picture, which wouldn't be that bad if that was all it was about. But this movie has trouble settling on one single narrative. It's almost like an asian version of ""Rocky Horror Picture Show."" As is typical of this current generation of filmmaking, it's just another ""People running around doing things"" movie. The market is just saturated with these SFX garbage movies which this summer was full of!!"
Works as an introductory movie but has a boring story,"This film manages to introduce the character in this universe, but the story that unfolds is boring.

The conflict changes several times, it even takes the main character to a lake to concentrate on something else, it becomes cyclical, it is incongruous, it has many script holes, you do not feel much emotion when the fights appear. The visuals are very good, the editing is good most of the time, although the sound of some mythological elements is not very good, like the performance of the actor who plays the antagonist, the ending feels a bit forced.

This film is not innovative in the genre and is predictable, making it somewhat boring."
Very well done,I mean this move was just a fun ride from start to finish with secrets and just really good nods to Asian mythology.
Boring,"I found this very slow moving and boring.

Special effects are silly looking.

Drags on. Ends. Tells you this is the start of a whole new Marvel strand. Oh dear."
"Not bad , not great",Honestly I start doubting that I saw another movie ! I don't know what all the hype about !! Another Marvel movie packed with a lot of action scenes and visual effects but weak and predictable story !
When will Disney learn?,"I heard great things on the internet about this movie, so I had some pretty high expectations. Well, I was let down, and judging by the other reviews ALOT of other people were too. People are not going to put up with this crap for too much longer. I mean how many bad movies can Disney make in a row and expect people to continue to watch them?

I see Disney even tried to even throw some Anti American talk into this movie to try to get on China's good side....but even that did not work. China did not allow their citizens to watch it. I guess Disney will have to put even more Anti American talk into the next movie.

You messed up Star Wars Disney. Now you are messing up every Marvel movie. Maybe wokeness is not the way to go. PLEASE can someone buy Marvel from Disney before its too late??

3/10 Another very poor Disney Marvel movie."
Underwhelming in every way,"Stupid on every level. Fights are entertaining, but would rather watch any bad 70's chop socky movie over this poorly written, ludicrous story. Several of the characters are so unrelateable it makes me wonder if the writers, director or actors have ever met another person. Not worth the time to write this review except that somehow this is getting a 7.9 at this moment which cannot be real. IMDB should be embarrassed shilling for this mess."
Wow how terrible,This new marvel movie is just bad. The main actor can't act and it's more about the side characters then him.
Did I see a different movie?,
Simu Liu seem to be a nice guy...,"...and a decent actor, but he couldn't save my intrest for another moneymilking lack of substance Disney/Marvel production. Watched for 30 min and turned off because of the s*itty socalled music tormented my ears. It's just another predictable, trendvictimized hipster infested snore fest with a billion dollar special effects and no surprises, just another marvel movie for modern pop kids and i*iot sheep, only this time they wanna target the asian community. Asian people must be appalled and ashamed by this pile c*ap. And speaking of asians, what's the deal with that sidekick actress, she sounds exactly like S Johansson but more chronically butthurt, is she doing a voiceover? Bloody hell..."
"Black Panther, but better","I wasn't really excited about MCU when Phase 4 was announced, but even then there were some things I was excited about and this movie wasn't one of those things. However, I liked it.

I wasn't disappointed like I was with Black Widow which massacred Taskmaster so bad.

It reminded me a lot of Black Panther. Non-white foreign protagonist, modern music and annoying sidekick.

But here is a twist. This movie does a way better job than Black Panther.

Humor was funnier, Katy didn't say anything cringe, we got real Mandarin and CGI battle didn't feel like PS2 cutscene.

If you want to watch an MCU movie from Phase 4 before No Way Home comes out, watch this.

Also, Eternals was awkward."
Yet another Superhero flick focused more on visuals and (forced) comedy,
Very overrated,"Definitely just watched another Marvel movie, nothing much else here. Felt very formulaic and chick heavy like many of the other films, would've liked to see them change things up a bit."
A fresh entry to the MCU!,"After being disappointed by Black Widows' solo outing and not knowing anything about a minor comics character I feared for Shang-Chi. But I was not disappointed.

Straight off and you get a cultured vibe honouring Asian film and tradition and you get superb action and charismatic characters all well delivered by a strong cast.

Reminding me of Jackie Chan in his heyday, the martial arts is fast and creative. Shang-chi feels really grounded and fresh for the first half of the film and it's good to move away from too much wild. But then the second half blends Asian folklore and Marvel fantasy to truly deliver a spectacle. Without having to explain itself too deeply the consistent nods to Dr Strange remind you that other dimensions exist and people can bend powers in believable ways.

Whilst it may not have needed to go so far onto fantasy, any true Marvel fan knows this is just another tuesday. The performances are strongly delivered and Shang-Chi is likely to become a new fan favourite."
"Generic, excessive jokes and lazy writing",The Marvel Studios once again makes a movie that uses jokes instead of making a good character development.
Nonsense,"Nonsense dumb time wasted.

Lots of dumb jokes Nothing new Weak story Making fun of male characters is not nice and we don't want to see that."
Stop Disneying our Marvel Dammit,"Couple of things, 1. The actors are made of plastic, I know it wasn't a CGI cartoon but the actors were so one dimensional it may as well have been. Have never seen live actors display the uncanny valley. 2. Feels alot more like a Disney film and less like a Marvel super hero movie. 3. It was super formulaic, Awkwafina was as usually not funny and every little chuckle was super forced. Overall had some good fight choreography but you can get that in any other Kung Fu Movie. Kind of makes you wonder why so much money was spent on a very very very template movie. Kind of lame."
Shang-Chi is top tier Marvel,"From the beginning I was fooled believing it would be a cliche origin story but completely shattered my expectations by the end. This movie is extremely fun and will leave you stunned by the end. The choreography of the fighting was flawless and give no disappointing action scenes. There aren't any groundbreaking performances especially by the lead. This doesn't take anything away from the film though and I am confident he will improve and become more comfortable. Don't leave during the credits!

Absolutely needs to be seen in theaters! Great movie."
More storyless woke.,"So bad. Between this and eternals, marvel is in big trouble. Marvel seems to have given up on any overarching story now that avengers is over and will instead focus on creating woke nonsense over and over."
Basically Marvel version of Tokyo Drift,"This movie isn't really written that well. It's more hilarious especially if you know what's going on in China and how MMA fighters go around debunking Chinese martial arts and the government is stepping in to censor it for the sake of protecting their pride / propaganda. Shang-Chi basically felt like an extension of that.

The acting is overexaggerated and to be honest the movie forces more stereotypes on Asians than relieve it. At least actors like John Cho plays roles that puts an even footing with their other counter parts. This movie is more of a marvel's attempt to please the Chinese market for profit. Best way to describe this movie is it's 90's nickelodeon kid show acting combined with Tokyo drift level of Asian stereotype. There's not one scene where they're not bringing attention to the fact that there are Asian people in the movie. It feels very California in only the worst ways possible."
IT WAS FANTASTIC🔥🔥🔥,"The was really good better than I expected,it has a great story,best hand to hand fight scene and more! I can't wait to watch it again more than 10 times I absolutely love this🔥."
Generic Superhero Movie,"Finally after much procrastination, I've decided to give this movie a watch, that is after Disney+ had added it to their listings.

All I can say is, I was glad I didn't fork out money to watch it in the theatres. Period. It's just another Disney movie where you walk out of the theatre and ask your kids what they have learnt from it. And for adults, you could generally pick out very generic learning points easily.

I was very surprised that Eternals received more criticism than this movie."
The worst Marvel movie,"An extremely boring film with absolutely predictable plot that is not worth paying attention to.

Medium acting, but Katy... Total cringe in 90% of the movie.

Fighting scenes is good."
A silly goofy boarderline cartoon,"This should be considered an animated film based on the amount of terrible cartoon like CGI utilized. From ""floppy"" animation used in place of human stunt people for MANY of the fight scenes (sorry, but martial arts are a lot less impressive when there are no actual people involved) to the terrible Avatar looking backgrounds and even cars / buses. For the amount of money put into a film like this I would hope the effects would be better than an episode of Game of Thrones, but instead they looked like the Matrix part 2. All of the actors involved were fantastic - when it was actually them, not a CGI stand in, but the story was all over the place, the villain(?) made no sense, I honestly have no idea what the hell was going on in the last half hour compared to the first hour. This movie was a mess all around, and compared to other MCU films feels like a total cluster-F. Definitely the worst movie I've seen this year, possibly in the last 10 years."
Very mediocre.,Another very mediocre movie from this dying 'universe' but some fight scenes are quite good and visual it's mostly ok too. Better than Capt Marvel. Hence the two points.
"Over-rated, like Black Panther","Before anyone thinks I am a straight white male who is not allowed to have opinions- let me tell you I am asian myself. Now the movie is truly overrated. Action is good, Virtue signaling was limited but not absent. Cliche MCU formula really is off putting. The only novelty was the looks of the actors. I did not get overly bored but I would not have missed much if I did not watch it."
Martin Scorsese Was So Right,"Martin Scorsese called most of these generic MCU movies theme park movies and This movie is perfect example of that. There are some great MCU movies, but seems like Marvel isn't even trying to separate themselves from theme park stigma, when they make movies like this."
An American Chinese movie,"I liked this movie, one of the first American movie where a lot of the dialog is in Chinese. The movie in it self is not fantastic but is has it's moments. I just can't stop thinking about why this hd to be set in the Marvel universe, it makes no sense to me...but then I am no Marvel fan. I think it would have been much better a completely chinese movie set in a different universe separate from Marvel. But hey, this is an American movie after all."
"Great humour, disappointing story","I really wanted to love this, and it had some great elements, especially in the front half of the movie. Some excellent characters with great interactions and genuine laugh out loud moments.

But eventually it morphed into a predictable and very underwhelming story. I was really hoping for a clever twist or unexpected plot element but was letdown and came away a bit disappointed.

Looooots of various martial art styled fight scenes, so if you like that you'll love the movie."
Marvel is going down the drain...,"This movie is pure insult in first 10 minutes alone. Awful CGI, just ridiculous. Bullshido kung-fu nonsense. Blant BMW commercial. Autotune mumble rap."
Probably one of the worst MCU movies,
Strong 7/10,"I have just watched this movie. I am an avid Marvel fan. This film introduces a new character, there is that standard Disney approach, with a mix of comedy, seriousness and lots of action.

Disney work through the numbers on this film, there are no surprises and it does what it does on the tin.

The acting is good, special effects are solids and the story is not bad.

There's continuity linking to the other marvel universe which is nice for the fans.

I would actually pitch this at 7.5/10, not quite an 8 but higher than a 7

Those review of 1 or 2 out of ten are way off the mark, this film is not that bad."
Wow!,"I was not expecting that, I had visions of a film along the same lines as Snake Eyes, that was an out of date bagel, this was a four course banquet.

Fast paced, energetic, and relentless, not particularly the genre I normally go to, or enjoy, but I loved every second of it, a visual masterpiece. Superb acting, terrific musics, but it's produced in such a magical way, it is stunning.

I plan on seeing this again, just to understand a few bits a little more.

Go and watch it, you'll love it, 9/10."
Predictable,"I found the movie enjoyable in parts but there were some boring parts too. It's definitely not a 10/10 movie, in fact nowhere near. It's a decent film that doesn't take itself to seriously but like all of these type of films it's predictable."
